log hfd,log mmb,log abt
0.92931673,0.80982896,0.81358099
0.93099994,0.81036695,0.81418098
0.93247376,0.81090428,0.8142476
0.93323413,0.8113739,0.81444738
0.93323413,0.8113739,0.81478015
0.93626234,0.81177602,0.81478015
0.93671476,0.81184301,0.81517913
0.9371667,0.81237851,0.81524559
0.93811927,0.81291336,0.81590965
0.93831954,0.81298017,0.815976
0.93901978,0.81311375,0.81604234
0.93906975,0.8136477,0.81610867
0.93981866,0.81371439,0.81677141
0.94111373,0.81398108,0.81697004
0.94190877,0.81411436,0.81697004
0.94220654,0.81418098,0.8171024
0.94235535,0.8142476,0.81743314
0.94240494,0.81444738,0.81848982
0.94304911,0.81524559,0.81875359
0.94403828,0.81537848,0.81908308
0.94487731,0.81590965,0.8192148
0.94517305,0.815976,0.81960973
0.94620655,0.81776363,0.82000431
0.94674694,0.81802784,0.82007003
0.94709046,0.81875359,0.82033284
0.94855966,0.81881951,0.82105476
0.95153179,0.81895131,0.82112032
0.95313123,0.81895131,0.8213825
0.95337305,0.81954394,0.82171
0.95433901,0.81967552,0.82177547
0.95491755,0.82013575,0.82223348
0.95520654,0.82039852,0.82229887
0.95573584,0.82066113,0.82340901
0.95636055,0.82236425,0.82353943
0.95669656,0.82269101,0.82353943
0.95674455,0.82282165,0.82393046
0.95693641,0.82288695,0.82393046
0.95708026,0.82353943,0.82406072
0.9571282,0.82360463,0.82451633
0.95736781,0.82380015,0.82458138
0.9575594,0.82458138,0.82464641
0.95813368,0.82458138,0.82510141
0.95894593,0.82477646,0.82516637
0.95961371,0.82490647,0.82529626
0.96089868,0.82503644,0.82575058
0.96099371,0.82503644,0.8258803
0.96359896,0.82510141,0.82717535
0.96458959,0.82529626,0.82730464
0.96496637,0.82562083,0.8276277
0.96534284,0.82594514,0.82801506
0.96538987,0.82600998,0.82911071
0.96656408,0.82600998,0.82930377
0.96698603,0.82600998,0.82956106
0.96764156,0.82646355,0.83001094
0.96787545,0.82665779,0.83001094
0.96871638,0.82691665,0.83065281
0.96946251,0.82711069,0.83078108
0.97011432,0.82782143,0.83110156
0.97081161,0.82795053,0.83129374
0.97099737,0.82795053,0.83142182
0.97164688,0.82820861,0.83161386
0.97322025,0.8286599,0.83206161
0.97345114,0.82872433,0.83289194
0.97358962,0.82885316,0.83333839
0.97418919,0.82936811,0.83372069
0.97469587,0.82956106,0.83397537
0.97570746,0.82962535,0.83403902
0.97662505,0.82981819,0.83403902
0.97689995,0.83001094,0.83467497
0.97694575,0.83013939,0.83480205
0.97808917,0.8302678,0.83531
0.97850007,0.83039618,0.83550033
0.97968492,0.83110156,0.83550033
0.97995789,0.83116563,0.83569057
0.98013978,0.83122969,0.83581735
0.98086655,0.83129374,0.83695674
0.98086655,0.83135779,0.83739902
0.98213549,0.83135779,0.83815618
0.98285894,0.83161386,0.83821922
0.98389679,0.83199768,0.83853427
0.98398692,0.83218946,0.83891203
0.98412208,0.83263663,0.83903787
0.98560608,0.83295575,0.83916368
0.98600993,0.83301955,0.83998056
0.9873981,0.83321088,0.84023159
0.98913822,0.83429351,0.84023159
0.99056083,0.83537345,0.84041978
0.9909601,0.83543689,0.84054519
0.99405306,0.83600746,0.84067056
0.99409709,0.83645071,0.8409212
0.99436115,0.83695674,0.84117169
0.99616129,0.83720953,0.8412343
0.99681802,0.8372727,0.84135947
0.99734269,0.83746217,0.84192231
0.99839013,0.83746217,0.84223469
0.99943505,0.83752531,0.84292112
0.99952201,0.83765156,0.84317046
1.00130093,0.83765156,0.84317046
1.00169045,0.83834527,0.84341967
1.00220927,0.83853427,0.84341967
1.00277063,0.83891203,0.84348194
1.00324505,0.83928946,0.84360647
1.00573804,0.83941519,0.84410423
1.00872789,0.84010609,0.8445393
1.00902574,0.84023159,0.8448498
1.01059674,0.84041978,0.84540814
1.01059674,0.84041978,0.84547013
1.01135895,0.84048249,0.84670815
1.01216207,0.84060788,0.84683175
1.01241537,0.84060788,0.84751097
1.01254197,0.84210976,0.84763434
1.01325867,0.84229713,0.84769602
1.01363761,0.84260924,0.84775769
1.01376385,0.84267163,0.84775769
1.01376385,0.84267163,0.84825071
1.01510816,0.8427964,0.8483123
1.0151501,0.84285876,0.84837388
1.01540167,0.84329508,0.84874318
1.01586251,0.84329508,0.84874318
1.0164065,0.84348194,0.84929654
1.01678271,0.84373097,0.84935798
1.01682449,0.84391764,0.84972644
1.01703334,0.84397984,0.84978782
1.01824267,0.84410423,0.85009459
1.01949016,0.84422858,0.85064624
1.01961472,0.8443529,0.85247999
1.01973923,0.8448498,0.85272391
1.02036128,0.84509804,0.85272391
1.02077549,0.84509804,0.85308953
1.02477291,0.84509804,0.8535157
1.02497797,0.84509804,0.85436678
1.02501897,0.84522211,0.85448823
1.02604272,0.84528413,0.85479169
1.02673749,0.84540814,0.85545858
1.02734961,0.84577997,0.85557972
1.02767572,0.84584191,0.85576137
1.02779794,0.84676995,0.85582191
1.02792014,0.84683175,0.85618493
1.02844924,0.84683175,0.8573325
1.02865257,0.84695533,0.85739281
1.02901833,0.8470171,0.85781478
1.02962724,0.84744926,0.85805572
1.03068066,0.8483123,0.85859734
1.03088295,0.84843546,0.85865748
1.03209471,0.84862012,0.85883785
1.03209471,0.84874318,0.85895805
1.03217538,0.84874318,0.8591383
1.03241728,0.84892771,0.85931847
1.03257847,0.84898921,0.86009833
1.03265905,0.84905069,0.86111604
1.03494915,0.84966506,0.86189269
1.03706776,0.84966506,0.86207172
1.03782475,0.84972644,0.86219103
1.03985018,0.84991056,0.86254877
1.04024622,0.85003326,0.86308483
1.04052323,0.85033985,0.86320386
1.04174787,0.85040115,0.8635013
1.04332297,0.85058498,0.86362022
1.04395142,0.85089118,0.86397678
1.04418685,0.851136,0.86421433
1.04465733,0.85144181,0.86445175
1.04477487,0.8516252,0.86451108
1.04532298,0.85211386,0.86462972
1.04551856,0.85211386,0.86480763
1.04563587,0.8521749,0.86498546
1.04567497,0.85241899,0.86522246
1.04575315,0.85278487,0.86563689
1.04590947,0.85315044,0.86581438
1.04618289,0.85315044,0.86593267
1.04618289,0.85315044,0.86646457
1.04622194,0.85339398,0.86675978
1.04680721,0.85339398,0.86711378
1.04700213,0.85363738,0.86723171
1.04746957,0.85375903,0.86752641
1.04929557,0.85388065,0.8683505
1.04933434,0.85406301,0.8689969
1.04999286,0.85412378,0.86905562
1.05014766,0.85430604,0.86940775
1.0503024,0.85436678,0.869994
1.05049576,0.85491302,0.87028683
1.05061173,0.85509495,0.87052095
1.05061173,0.85515558,0.87128097
1.05072767,0.85551916,0.87174802
1.05084358,0.85588243,0.8718647
1.05115252,0.85684968,0.87215627
1.05149982,0.85684968,0.87244765
1.05207803,0.85697043,0.8725059
1.0523476,0.85697043,0.87268061
